route_id,direction_id,direction
5095,0,Inbound
5095,1,Outbound
5096,0,Inbound
5096,1,Outbound
5097,0,Inbound
5097,1,Outbound
5098,0,Inbound
5098,1,Outbound
5099,0,Inbound
5099,1,Outbound
5100,0,Inbound
5100,1,Outbound
5101,0,Inbound
5101,1,Outbound
5102,0,Inbound
5102,1,Outbound
5103,0,Inbound
5103,1,Outbound
5104,0,Inbound
5104,1,Outbound
5105,0,Inbound
5105,1,Outbound
5106,0,Inbound
5106,1,Outbound
5107,0,Inbound
5107,1,Outbound
5108,0,Inbound
5108,1,Outbound
5109,0,Inbound
5109,1,Outbound
5110,0,Inbound
5110,1,Outbound
5111,0,Inbound
5111,1,Outbound
5112,0,Inbound
5112,1,Outbound
5113,0,Inbound
5113,1,Outbound
5114,0,Inbound
5114,1,Outbound
