agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
594,5095,1,University,This route runs from Wal-Mart Supercenter on Allen Rd.,3,http://www.ridecitylink.org/sites/default/files/%231%20University-Dec%202015.pdf,00b2eb,ffffff,0,,0,1,1,,
594,5096,2,Monroe,,3,http://www.ridecitylink.org/sites/default/files/%232%20Monroe-Dec%202015.pdf,0072bc,ffffff,1,,0,1,1,,
594,5105,11,Western,,3,http://www.ridecitylink.org/sites/default/files/%2311%20Western-Dec%202015.pdf,522f91,ffffff,10,,0,1,1,,
594,5106,12,Heights,,3,http://www.ridecitylink.org/sites/default/files/%2312%20Heights-Dec%202015.pdf,d2232a,ffffff,11,,0,1,1,,
594,5108,13,South Adams,,3,http://www.ridecitylink.org/sites/default/files/%2313%20South%20Adams-Dec%202015.pdf,f3c828,000000,12,60,0,1,1,,
594,5114,14,Wisconsin,,3,http://www.ridecitylink.org/sites/default/files/#14 Wisconsin-Dec 2015.pdf,008f4c,ffffff,13,,0,1,1,,
594,5113,15,Lincoln,,3,http://www.ridecitylink.org/sites/default/files/%2315%20Lincoln-Dec%202015.pdf,993e97,ffffff,14,,0,1,1,,
594,5112,16,Northwest Express,,3,http://www.ridecitylink.org/sites/default/files/%2316%20Northwest%20Express-Dec%202015.pdf,8a8f9e,ffffff,15,,0,1,1,,
594,5111,17,Pekin North,,3,http://www.ridecitylink.org/sites/default/files/%2317%20Pekin%20North-Dec%202015.pdf,f99d1c,000000,16,,0,1,1,,
594,5110,18,Pekin South,,3,http://www.ridecitylink.org/sites/default/files/%2318%20Pekin%20South-Dec%202015.pdf,f99d1c,000000,17,60,0,1,1,,
594,5109,20,ICC Express,"This bus provides service between downtown and Illinois Central College. Other major destinations along the route are the Embassy Suites, Wal-Mart Supercenter, Par•A•Dice Hotel & Casino and Eastport Plaza.",3,http://www.ridecitylink.org/sites/default/files/%2320%20ICC%20Express-Dec%202015.pdf,86a6b2,000000,18,,0,1,1,,
594,5107,23,Pekin,"This bus provides service between Peoria and Pekin, while also providing service to Creve Coeur and North Pekin.",3,http://www.ridecitylink.org/sites/default/files/%2323%20Peoria%20to%20Pekin-Dec%202015.pdf,dc6d1d,000000,19,,0,1,1,,
594,5097,3,Parkview,,3,http://www.ridecitylink.org/sites/default/files/%233%20Parkview-Dec%202015.pdf,fff200,000000,2,,0,1,1,,
594,5098,4,Knoxville,,3,http://www.ridecitylink.org/sites/default/files/#4 Knoxville-Dec 2015.pdf,f89f6d,000000,3,,0,1,1,,
594,5099,5,Main,,3,http://www.ridecitylink.org/sites/default/files/%235%20Main-Dec%202015.pdf,007db0,ffffff,4,,0,1,1,,
594,5100,6,Sheridan,,3,http://www.ridecitylink.org/sites/default/files/%236%20Sheridan-Dec%202015.pdf,24408f,ffffff,5,,0,1,1,,
594,5101,7,Garden,,3,http://www.ridecitylink.org/sites/default/files/%237%20Garden-Mar.%202017.pdf,99ca3c,000000,6,,0,1,1,,
594,5102,8,East Peoria/Sunnyland,,3,http://www.ridecitylink.org/sites/default/files/%238%20East%20Peoria-Sunnyland-Dec%202015.pdf,a76535,ffffff,7,,0,1,1,,
594,5103,9,East Peoria/EastSide,,3,http://www.ridecitylink.org/sites/default/files/%239%20East%20Peoria-Eastside-Dec%202015.pdf,f499b9,000000,8,,0,1,1,,
594,5104,10,Sterling,,3,http://www.ridecitylink.org/sites/default/files/%2310%20Sterling-Dec%202015.pdf,bf1e74,ffffff,9,,0,1,1,,
