runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_19302_b_32733_d_31,121326,1,1,t_1005910_b_32733_tn_0,3100,t_1006448_b_32733_tn_0,3401
1000000,c_19302_b_32733_d_31,121340,10,1,t_1006501_b_32733_tn_0,1100,t_1006498_b_32733_tn_0,2100
1100000,c_19302_b_32733_d_31,121341,11,1,t_1005530_b_32733_tn_0,2200,t_1317725_b_32733_tn_0,1481
1200000,c_19302_b_32733_d_31,121342,12,1,t_1005806_b_32733_tn_0,1481,t_1005732_b_32733_tn_0,1100
1300000,c_19302_b_32733_d_31,121343,13,1,t_1005531_b_32733_tn_0,2200,t_1005736_b_32733_tn_0,1100
1400000,c_19302_b_32733_d_31,121344,14,1,t_1005325_b_32733_tn_0,1100,t_1320178_b_32733_tn_0,2490
1500000,c_19302_b_32733_d_31,121345,15,1,t_1005339_b_32733_tn_0,1100,t_1006075_b_32733_tn_0,2100
1600000,c_19302_b_32733_d_31,121346,16,1,t_1005675_b_32733_tn_0,2100,t_1005734_b_32733_tn_0,1100
1700000,c_19302_b_32733_d_31,121352,17,1,t_1006305_b_32733_tn_0,6100,t_1006211_b_32733_tn_0,7100
1800000,c_19302_b_32733_d_31,121353,18,1,t_1006442_b_32733_tn_0,6100,t_1005729_b_32733_tn_0,7100
1900000,c_19302_b_32733_d_31,121354,19,1,t_1005261_b_32733_tn_0,7100,t_1006309_b_32733_tn_0,6200
200000,c_19302_b_32733_d_31,121330,2,1,t_1005368_b_32733_tn_0,1481,t_1005768_b_32733_tn_0,7100
2000000,c_19302_b_32733_d_31,121355,20,1,t_1320185_b_32733_tn_0,7200,t_1006212_b_32733_tn_0,7100
2100000,c_19302_b_32733_d_31,121356,21,1,t_1006444_b_32733_tn_0,6100,t_1005211_b_32733_tn_0,6200
2200000,c_19302_b_32733_d_31,121357,22,1,t_1005749_b_32733_tn_0,6400,t_1005744_b_32733_tn_0,7100
2300000,c_19302_b_32733_d_31,121358,23,1,t_1005496_b_32733_tn_0,3100,t_1005408_b_32733_tn_0,1502
2400000,c_19302_b_32733_d_31,121359,24,1,t_1005956_b_32733_tn_0,1481,t_1005373_b_32733_tn_0,3100
2500000,c_19302_b_32733_d_31,121360,25,1,t_1005999_b_32733_tn_0,7100,t_1005440_b_32733_tn_0,3401
2600000,c_19302_b_32733_d_31,121363,26,1,t_1005839_b_32733_tn_0,7100,t_1006503_b_32733_tn_0,3100
2700000,c_19302_b_32733_d_31,121365,27,1,t_1005721_b_32733_tn_0,3401,t_1005789_b_32733_tn_0,7100
2800000,c_19302_b_32733_d_31,121376,28,1,t_1006141_b_32733_tn_0,1481,t_1006141_b_32733_tn_0,3401
2900000,c_19302_b_32733_d_31,121378,29,1,t_1005252_b_32733_tn_0,7100,t_1005394_b_32733_tn_0,7100
300000,c_19302_b_32733_d_31,121331,3,1,t_1006492_b_32733_tn_0,3401,t_1006110_b_32733_tn_0,3401
3000000,c_19302_b_32733_d_31,158952,30,1,t_1006077_b_32733_tn_0,1481,t_1005597_b_32733_tn_0,2001
3100000,c_19302_b_32733_d_31,158954,31,1,t_1320183_b_32733_tn_0,4300,t_1320184_b_32733_tn_0,1100
3200000,c_19302_b_32733_d_31,158955,32,1,t_1005260_b_32733_tn_0,7100,t_1317694_b_32733_tn_0,7100
3300000,c_19302_b_32733_d_31,158956,33,1,t_1005819_b_32733_tn_0,7100,t_1317728_b_32733_tn_0,3100
3400000,c_19302_b_32733_d_31,158957,34,1,t_1005268_b_32733_tn_0,3401,t_1317439_b_32733_tn_0,3401
3500000,c_19302_b_32733_d_32,158954,35,1,t_1005437_b_32733_tn_0,1481,t_1317407_b_32733_tn_0,1100
3600000,c_19302_b_32733_d_32,158955,36,1,t_1006353_b_32733_tn_0,7200,t_1005266_b_32733_tn_0,3401
400000,c_19302_b_32733_d_31,121332,4,1,t_1006428_b_32733_tn_0,7100,t_1006134_b_32733_tn_0,3401
500000,c_19302_b_32733_d_31,121333,5,1,t_1005563_b_32733_tn_0,3100,t_1006135_b_32733_tn_0,3100
600000,c_19302_b_32733_d_31,121335,6,1,t_1006495_b_32733_tn_0,1245,t_1006447_b_32733_tn_0,3401
700000,c_19302_b_32733_d_31,121336,7,1,t_1005385_b_32733_tn_0,3401,t_1006497_b_32733_tn_0,7100
800000,c_19302_b_32733_d_31,121337,8,1,t_1006433_b_32733_tn_0,7100,t_1006143_b_32733_tn_0,3401
900000,c_19302_b_32733_d_31,121338,9,1,t_1005390_b_32733_tn_0,3401,t_1005641_b_32733_tn_0,3100
