stop_id,stop_city
6220,Peoria
1425,Peoria
2306,East Peoria
1438,Peoria
2360,Peoria
6300,Peoria
9551,East Peoria
1614,Peoria
4410,Peoria
3230,Peoria
1851,Peoria
1201,Peoria
1520,Peoria
5110,West Peoria
1708,Pekin
9170,East Peoria
1624,Peoria
1814,Pekin
3900,Peoria
4670,Peoria
4801,Peoria
1644,Peoria
7290,Peoria
1231,Peoria
3301,Peoria
1465,Peoria
8300,East Peoria
1240,Peoria
1134,Peoria
5340,Peoria
5660,Peoria
1036,Peoria
4720,Peoria
9260,East Peoria
8800,East Peoria
1208,Peoria
1357,Peoria
1225,Peoria Heights
1333,Peoria
1135,Peoria
4460,Peoria
9240,East Peoria
4390,Peoria
1505,Peoria
1920,Peoria
5640,Peoria
4230,Peoria
1143,West Peoria
5370,Peoria
1337,Peoria
2380,Peoria
1125,Peoria
1160,Peoria
1326,Peoria
1128,Peoria
8110,East Peoria
1940,Peoria
2521,Peoria
1449,Peoria
1519,Peoria
1648,Peoria
1355,Peoria
5500,Peoria
1860,Peoria
8360,Springfield
1656,Peoria
4450,Peoria
3700,Peoria
4336,"Peoria, Il"
3600,Peoria
1649,Peoria
2399,Peoria
1021,Peoria
1409,Peoria
1522,Peoria
1819,Pekin
2440,Peoria
1113,Peoria
1011,Peoria
9509,Pottstown
0231,East Peoria
9201,East Peoria
6130,Peoria
1283,Peoria
5120,West Peoria
1453,Peoria
1354,Peoria
1101,Peoria
1270,Peoria Heights
5260,Springfield
1805,Pekin
2015,East Peoria
1031,Peoria
1405,Peoria
8900,East Peoria
1349,Peoria
1312,Peoria
9150,East Peoria
2351,Peoria
9700,East Peoria
2201,Peoria
1652,Peoria
1508,Bellevue
5601,West Peoria
1523,Peoria
8590,East Peoria
5530,West Peoria
2419,Peoria
1628,Peoria
4690,Peoria
1257,Peoria
1416,Peoria
1227,Peoria Heights
1419,Peoria
1035,Peoria
4160,Peoria
8400,East Peoria
8150,East Peoria
1219,Peoria Heights
7500,Peoria
8240,Springfield
1328,Peoria
1606,Peoria
1202,Peoria
8350,East Peoria
1452,Peoria
6900,Peoria
9130,East Peoria
7900,Peoria
1230,Peoria
1609,Peoria
1613,Peoria
2311,Wesley
3028,Peoria
1723,Springfield
2110,Long Shore Park
1900,Peoria
6180,Peoria
3390,Springfield
8560,East Peoria
6500,Peoria
5150,West Peoria
1051,Peoria
3210,Peoria
8180,East Peoria
7440,Bellevue
9502,Peoria
4280,Peoria
3300,Peoria
3330,Peoria
1320,Peoria
1243,Peoria
4120,Peoria
1616,Peoria
2420,Peoria
7280,Peoria
2004,Washington
0141,Peoria
1761,Peoria
1284,Peoria
1013,Springfield
9507,Springfield
1507,Peoria
3401,Peoria
1045,Peoria
1338,Peoria
2309,East Peoria
1407,Peoria
4620,Peoria
1721,Pekin
2105,Chillicothe
2480,Peoria Heights
5410,Springfield
2430,Peoria
7800,Pottstown
4590,Peoria
1803,Pekin
1730,Peoria
8510,East Peoria
1706,Springfield
1260,Peoria Heights
1029,Peoria
1318,Peoria
1238,Peoria
1300,Peoria
9200,Springfield
6120,Peoria
9290,East Peoria
6330,Peoria
7150,Peoria
1274,Peoria Heights
2700,Peoria Heights
1802,Pekin
1336,Peoria
6301,Peoria
2005,East Peoria
1551,Peoria
2341,Peoria
4401,Peoria
2490,Peoria
2460,Peoria
4780,Peoria
8210,East Peoria
5170,West Peoria
1016,Peoria
2021,East Peoria
6320,Peoria
3140,Peoria
1250,Peoria
1315,Peoria
1500,Peoria
1460,Peoria
1717,Pekin
8100,Washington
4370,Peoria
2410,Peoria
1701,Springfield
1830,Peoria
4290,Peoria
4320,Peoria
1038,Peoria
5460,Peoria
1255,Peoria
4380,Peoria
7320,Peoria
2230,Peoria
2270,Peoria
1391,Peoria
3170,Peoria
2120,Peoria
1372,Peoria
1268,Peoria Heights
2281,Peoria
2016,East Peoria
2304,Wesley
1161,Peoria
1293,Peoria
2280,Peoria
1509,Peoria
4490,Peoria
6340,Peoria
3110,Peoria
7600,Maxwell
1930,Peoria
1634,Peoria
1133,Peoria
1343,Peoria
1440,Peoria
1120,Peoria
5540,West Peoria
1638,Peoria
1004,Peoria
6101,Peoria
1770,Peoria
1302,Peoria
2003,Washington
4310,Peoria
1288,Peoria
1170,Peoria
2370,Peoria Heights
1725,Pekin
1608,Peoria
5590,West Peoria
1375,Peoria
1126,Peoria
5560,West Peoria
5501,West Peoria
1861,Peoria
5630,Peoria
9600,East Peoria
4250,Peoria
9250,East Peoria
1200,Peoria
1023,Peoria
1402,Peoria
1147,Peoria
4301,Peoria
1432,Peoria
2140,Peoria
2511,Peoria
4430,Peoria
1840,Peoria
6018,Peoria
7210,Peoria
2001,East Peoria
1012,Peoria
1006,Peoria
1282,Peoria
8200,East Peoria
5420,Peoria
1310,Peoria
2401,Peoria
1615,Peoria
1115,Peoria
1259,Peoria
1290,Peoria
5350,Peoria
1341,Peoria
1222,Peoria Heights
1204,Peoria
7140,Peoria
8440,East Peoria
2108,Peoria
1637,Peoria
1214,Peoria
1046,Peoria
7190,Peoria
1285,Peoria
1217,Peoria Heights
1258,Peoria Heights
1607,Peoria
1529,Bellevue
1516,Peoria
4520,Peoria
7340,Peoria
1358,Peoria
7220,Peoria
1630,Peoria
8420,East Peoria
6170,Peoria
1106,West Peoria
9180,East Peoria
1434,Peoria
1206,Peoria
1100,Peoria
1411,Peoria
1263,Peoria
1347,Peoria
1451,Peoria
1141,Springfield
1224,Peoria Heights
1247,Peoria
1307,Peoria
4500,Peoria
1711,Springfield
3250,Peoria
1424,Peoria
4580,Peoria
1812,Pekin
2800,Peoria
3370,Peoria
7700,Peoria
1180,Peoria
1112,Peoria
1880,Peoria
9522,East Peoria
2651,Peoria
5470,Peoria
5800,Peoria
1724,Springfield
1437,Peoria
1661,Peoria
1640,Peoria
1714,Pekin
1719,Pekin
3311,Peoria
1332,Springfield
1340,Peoria
2210,Peoria
1705,Pekin
1739,Pekin
4600,Peoria
1140,Peoria
9101,East Peoria
2320,Peoria
1760,Peoria
4140,Peoria
1104,West Peoria
2250,Peoria
1619,Peoria
4305,Peoria
1055,Peoria
1506,Bellevue
1181,Peoria
1249,Peoria
1654,Peoria
8130,East Peoria
6150,Peoria
2009,East Peoria
1457,Peoria Heights
1804,Pekin
7165,Peoria
1790,Peoria
9230,East Peoria
2321,Peoria
8280,Springfield
8601,East Peoria
3100,Peoria
5700,Springfield
1252,Peoria
1107,West Peoria
1373,Peoria
6110,Peoria
6370,Peoria
1353,Peoria
8501,East Peoria
5300,Peoria
1580,Peoria
1610,Peoria
8301,Springfield
1707,Springfield
1022,Peoria
1003,Peoria
1226,Peoria Heights
4560,Peoria
1032,Peoria
1658,Springfield
1335,Peoria
5210,Peoria
8470,East Peoria
1244,Peoria
1901,Peoria
1653,Peoria
1751,Peoria
2260,Springfield
1512,Peoria
2107,Chillicothe
1331,Peoria
1501,Bellevue
5160,West Peoria
7100,Pottstown
4650,Peoria
1205,Peoria
1014,Peoria
1211,Peoria
1454,Peoria
2451,Peoria
4730,Peoria
4660,Peoria
1427,Peoria
1137,Peoria
5440,Peoria
1710,Pekin
1287,Peoria
5140,West Peoria
1279,Peoria
1050,Peoria
1362,Peoria
1400,Peoria
5270,Springfield
1296,Peoria
1265,Peoria Heights
2022,Washington
1108,West Peoria
5201,Peoria
1356,Peoria
5401,Peoria
7360,Peoria
3360,Peoria
1102,Peoria
1271,Peoria Heights
2470,Peoria
1641,Peoria
1303,Peoria
5310,Peoria
1317,Peoria
1450,Peoria
1850,Peoria
1042,Peoria
1130,Peoria
1468,Peoria
7495,Maxwell
0114,Pekin
5550,West Peoria
1463,Peoria
7370,Peoria
1561,Peoria
2500,Long Shore Park
1647,Peoria
9800,East Peoria
7310,Peoria
8160,East Peoria
1254,Peoria
5230,Peoria
1750,Peoria
1456,Peoria Heights
1027,Peoria
1262,Peoria Heights
4270,Peoria
7270,Peoria
1148,Peoria
4400,Peoria
0104,Pekin
7300,Peoria
1511,Peoria
1532,Bellevue
1715,Pekin
1110,West Peoria
1722,Pekin
1301,Peoria
1560,Peoria
1502,Bellevue
1681,Peoria
1462,Peoria
4240,Peoria
1374,Peoria
1116,Peoria
6190,Peoria
1524,Peoria
1818,Pekin
1813,Pekin
1480,Peoria
9100,East Peoria
1626,Peoria
1026,Peoria
1020,Peoria
7260,Peoria
1513,Peoria
1771,Peoria
1261,Peoria
2170,Peoria
1600,Peoria
5400,Peoria
3190,Springfield
9400,East Peoria
1220,Peoria Heights
4470,Peoria
1811,Pekin
1525,Peoria
1420,Peoria
1236,Peoria
1144,West Peoria
1646,Peoria
1622,Peoria
7180,Peoria
1621,Peoria
1339,Peoria
1371,Peoria
1910,Peoria
1327,Peoria
1410,Peoria
1308,Kickapoo
1251,Peoria
1028,Peoria
1248,Peoria
5620,Peoria
7401,Peoria
