trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1005197_b_32733_tn_0,08:29:00,08:29:00,1661,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1602,2,,0,0,1208.83930678042,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,08:31:00,08:31:00,1659,3,,0,0,1685.60195328545,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1603,4,,0,0,2044.86277781722,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1604,5,,0,0,2845.31169317686,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,08:34:00,08:34:00,1606,6,,0,0,3738.8341842007,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,08:37:00,08:37:00,1607,7,,0,0,5282.22588445994,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1608,8,,0,0,5726.80628714605,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1609,9,,0,0,5965.33963806545,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1610,10,,0,0,6458.17325952292,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1611,11,,0,0,6803.28014163814,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1612,12,,0,0,7032.24290607604,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1613,13,,0,0,7407.07719539115,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1614,14,,0,0,7837.75050883253,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1615,15,,0,0,8072.46192644153,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1616,16,,0,0,8429.13379965354,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,08:43:00,08:43:00,1617,17,,0,0,9507.29265545605,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1618,18,,0,0,10534.6051452254,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1619,19,,0,0,10873.3826001021,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1620,20,,0,0,11238.755045621,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1621,21,,0,0,11506.1038935213,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,08:47:00,08:47:00,1622,22,,0,0,11824.2097793436,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1623,23,,0,0,12211.3907727444,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1624,24,,0,0,12593.4115875024,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1625,25,,0,0,12802.7447261165,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1626,26,,0,0,13104.1293104345,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1627,27,,0,0,14812.5925767564,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,08:53:00,08:53:00,1628,28,,0,0,15760.5076678928,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1629,29,,0,0,16137.2220660012,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,09:00:00,09:00:00,3100,30,,0,0,16825.3123568815,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1630,31,,0,0,23998.2246269144,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,,,1244,32,,0,0,24549.9658825079,0,,,,,1,1,,,,,,,,,,,
t_1005197_b_32733_tn_0,09:20:00,09:20:00,1481,33,,0,0,25304.24743662,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,09:44:00,09:44:00,1661,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1602,2,,0,0,1208.83930678042,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,09:46:00,09:46:00,1659,3,,0,0,1685.60195328545,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1603,4,,0,0,2044.86277781722,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1604,5,,0,0,2845.31169317686,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,09:49:00,09:49:00,1606,6,,0,0,3738.8341842007,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,09:52:00,09:52:00,1607,7,,0,0,5282.22588445994,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1608,8,,0,0,5726.80628714605,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1609,9,,0,0,5965.33963806545,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1610,10,,0,0,6458.17325952292,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1611,11,,0,0,6803.28014163814,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1612,12,,0,0,7032.24290607604,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1613,13,,0,0,7407.07719539115,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1614,14,,0,0,7837.75050883253,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1615,15,,0,0,8072.46192644153,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1616,16,,0,0,8429.13379965354,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,09:58:00,09:58:00,1617,17,,0,0,9507.29265545605,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1618,18,,0,0,10534.6051452254,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1619,19,,0,0,10873.3826001021,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1620,20,,0,0,11238.755045621,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1621,21,,0,0,11506.1038935213,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,10:02:00,10:02:00,1622,22,,0,0,11824.2097793436,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1623,23,,0,0,12211.3907727444,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1624,24,,0,0,12593.4115875024,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1625,25,,0,0,12802.7447261165,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1626,26,,0,0,13104.1293104345,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1627,27,,0,0,14812.5925767564,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,10:08:00,10:08:00,1628,28,,0,0,15760.5076678928,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1629,29,,0,0,16137.2220660012,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,10:15:00,10:15:00,3100,30,,0,0,16825.3123568815,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1630,31,,0,0,23998.2246269144,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,,,1244,32,,0,0,24549.9658825079,0,,,,,1,1,,,,,,,,,,,
t_1005198_b_32733_tn_0,10:35:00,10:35:00,1481,33,,0,0,25304.24743662,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,10:59:00,10:59:00,1661,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1602,2,,0,0,1208.83930678042,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,11:01:00,11:01:00,1659,3,,0,0,1685.60195328545,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1603,4,,0,0,2044.86277781722,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1604,5,,0,0,2845.31169317686,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,11:04:00,11:04:00,1606,6,,0,0,3738.8341842007,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,11:07:00,11:07:00,1607,7,,0,0,5282.22588445994,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1608,8,,0,0,5726.80628714605,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1609,9,,0,0,5965.33963806545,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1610,10,,0,0,6458.17325952292,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1611,11,,0,0,6803.28014163814,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1612,12,,0,0,7032.24290607604,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1613,13,,0,0,7407.07719539115,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1614,14,,0,0,7837.75050883253,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1615,15,,0,0,8072.46192644153,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1616,16,,0,0,8429.13379965354,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,11:13:00,11:13:00,1617,17,,0,0,9507.29265545605,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1618,18,,0,0,10534.6051452254,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1619,19,,0,0,10873.3826001021,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1620,20,,0,0,11238.755045621,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1621,21,,0,0,11506.1038935213,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,11:17:00,11:17:00,1622,22,,0,0,11824.2097793436,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1623,23,,0,0,12211.3907727444,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1624,24,,0,0,12593.4115875024,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1625,25,,0,0,12802.7447261165,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1626,26,,0,0,13104.1293104345,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1627,27,,0,0,14812.5925767564,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,11:23:00,11:23:00,1628,28,,0,0,15760.5076678928,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1629,29,,0,0,16137.2220660012,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,11:30:00,11:30:00,3100,30,,0,0,16825.3123568815,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1630,31,,0,0,23998.2246269144,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,,,1244,32,,0,0,24549.9658825079,0,,,,,1,1,,,,,,,,,,,
t_1005199_b_32733_tn_0,11:50:00,11:50:00,1481,33,,0,0,25304.24743662,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,12:14:00,12:14:00,1661,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1602,2,,0,0,1208.83930678042,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,12:16:00,12:16:00,1659,3,,0,0,1685.60195328545,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1603,4,,0,0,2044.86277781722,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1604,5,,0,0,2845.31169317686,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,12:19:00,12:19:00,1606,6,,0,0,3738.8341842007,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,12:22:00,12:22:00,1607,7,,0,0,5282.22588445994,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1608,8,,0,0,5726.80628714605,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1609,9,,0,0,5965.33963806545,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1610,10,,0,0,6458.17325952292,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1611,11,,0,0,6803.28014163814,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1612,12,,0,0,7032.24290607604,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1613,13,,0,0,7407.07719539115,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1614,14,,0,0,7837.75050883253,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1615,15,,0,0,8072.46192644153,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1616,16,,0,0,8429.13379965354,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,12:28:00,12:28:00,1617,17,,0,0,9507.29265545605,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1618,18,,0,0,10534.6051452254,0,,,,,1,1,,,,,,,,,,,
t_1005200_b_32733_tn_0,,,1619,19,,0,0,10873.3826001021,0,,,,,1,1,,,,,,,,,,,
